ph_mode,ph_metric,other_metric,n,pearson,spearman
fixed_support_vr,max_persistence_h1,projection_residual,208,-0.5604956934318073,-0.6437572840100374
fixed_support_vr,top5_persistence_h1,effective_rank,1664,0.4265639312136137,0.4585160133343618
fixed_support_vr,top5_persistence_h1,top_k_variance_fraction,1664,-0.40271440601880226,-0.3305262769531813
fixed_support_vr,top5_persistence_h1,mean_pairwise_distance,1664,-0.13018658872399252,0.06341536142340813
fixed_support_vr,top5_persistence_h1,median_pairwise_distance,1664,-0.14145143893765422,0.07696060635880975
fixed_support_vr,top5_persistence_h1,std_pairwise_distance,1664,-0.16606398304425307,-0.04284519792525866
fixed_support_vr,top5_persistence_h1,q10_pairwise_distance,1664,0.16738866031341124,0.11821907246501877
fixed_support_vr,top5_persistence_h1,q50_pairwise_distance,1664,-0.14145143893765422,0.07696060635880975
fixed_support_vr,top5_persistence_h1,q90_pairwise_distance,1664,-0.1386378197272347,0.07362556923120415
fixed_support_vr,top5_persistence_h1,projection_residual,208,-0.5690588766701814,-0.650491506836244
fixed_support_vr,betti_curve_area_h1,effective_rank,1664,0.44747105239791535,0.3419370117866295
fixed_support_vr,betti_curve_area_h1,top_k_variance_fraction,1664,-0.41811843949403676,-0.22741927838376452
fixed_support_vr,betti_curve_area_h1,mean_pairwise_distance,1664,-0.08601664778331002,-0.016356062750086376
fixed_support_vr,betti_curve_area_h1,median_pairwise_distance,1664,-0.08935734912027123,0.005690383591194359
fixed_support_vr,betti_curve_area_h1,std_pairwise_distance,1664,-0.10492157190249267,-0.08849460506446036
fixed_support_vr,betti_curve_area_h1,q10_pairwise_distance,1664,0.08543976496788305,-0.03601835643180323
fixed_support_vr,betti_curve_area_h1,q50_pairwise_distance,1664,-0.08935734912027123,0.005690383591194359
fixed_support_vr,betti_curve_area_h1,q90_pairwise_distance,1664,-0.09151314320428872,-0.0014931640167641631
fixed_support_vr,betti_curve_area_h1,projection_residual,208,-0.5736879503085992,-0.6402989819193668
fixed_support_vr,betti_curve_peak_h1,effective_rank,1664,0.21893923866244389,0.3587013225162458
fixed_support_vr,betti_curve_peak_h1,top_k_variance_fraction,1664,-0.188421769479267,-0.25390222169010634
fixed_support_vr,betti_curve_peak_h1,mean_pairwise_distance,1664,-0.03286865242978572,-0.02007175585112981
fixed_support_vr,betti_curve_peak_h1,median_pairwise_distance,1664,-0.031808349408229394,-0.0019809543463594143
fixed_support_vr,betti_curve_peak_h1,std_pairwise_distance,1664,-0.020265661435763038,-0.11154974598079956
fixed_support_vr,betti_curve_peak_h1,q10_pairwise_distance,1664,-0.06382967824072477,0.007107994585954394
fixed_support_vr,betti_curve_peak_h1,q50_pairwise_distance,1664,-0.031808349408229394,-0.0019809543463594143
fixed_support_vr,betti_curve_peak_h1,q90_pairwise_distance,1664,-0.028781692293638,-0.014159014860532938
fixed_support_vr,betti_curve_peak_h1,projection_residual,208,-0.6356640502715949,-0.5994274225392873
fixed_support_vr,betti_curve_change_h1,effective_rank,1664,0.4453203002488725,0.3273292616491213
fixed_support_vr,betti_curve_change_h1,top_k_variance_fraction,1664,-0.41605137921572416,-0.21218549790518254
fixed_support_vr,betti_curve_change_h1,mean_pairwise_distance,1664,-0.08614526439765365,-0.022397348555882046
fixed_support_vr,betti_curve_change_h1,median_pairwise_distance,1664,-0.0893476697820473,-0.00026127608813796845
fixed_support_vr,betti_curve_change_h1,std_pairwise_distance,1664,-0.10448064406376442,-0.08909684740916145
fixed_support_vr,betti_curve_change_h1,q10_pairwise_distance,1664,0.08251760735947644,-0.04939282978874622
fixed_support_vr,betti_curve_change_h1,q50_pairwise_distance,1664,-0.0893476697820473,-0.00026127608813796845
fixed_support_vr,betti_curve_change_h1,q90_pairwise_distance,1664,-0.09147609010777222,-0.007030816891336391
fixed_support_vr,betti_curve_change_h1,projection_residual,208,-0.5740081391134564,-0.6432288742892397
fixed_knn_vr,total_persistence_h1,effective_rank,1664,0.4642842255007517,0.3681783682069107
fixed_knn_vr,total_persistence_h1,top_k_variance_fraction,1664,-0.43463426039657893,-0.25858969231622103
fixed_knn_vr,total_persistence_h1,mean_pairwise_distance,1664,-0.08390499846473141,0.005742717737003933
