ph_mode,metric,n_joined,pearson_vs_full_vr,spearman_vs_full_vr,mae_vs_full_vr,rmse_vs_full_vr,normalized_mae_vs_full_vr,sign_agreement_vs_full_vr
online_landmark_event,total_persistence_h1,1664,0.2527292660580588,0.12565974842489724,9813.429411208972,14823.707735587956,27.55484450788902,
online_landmark_event,max_persistence_h1,1664,0.2446335754740954,-0.04788376180947871,1.5840509081173255,2.2436521112953605,1.788592649961243,
online_landmark_event,top5_persistence_h1,1664,0.26855472926669843,-0.0036620384460069808,7.866860849551506,11.103879721530703,2.014116352089753,
online_landmark_event,betti_curve_area_h1,1664,0.24605035262776667,0.12266760966309587,9776.069960306853,14789.860964646494,27.356974821578103,
online_landmark_event,betti_curve_peak_h1,1664,0.30565864554800104,0.3584119464472362,4746.242788461538,5606.80545400306,7.858017861691288,
online_landmark_event,betti_curve_change_h1,1664,0.7071627563739283,0.8048360888117022,9588.374227816204,14581.617590380329,12.119480382581745,
online_landmark_event,delta_total_persistence_h1,1664,-0.860516913505357,-0.8345803936816921,709.878913082964,1269.985625787348,39.6423269472143,0.07988165680473373
online_landmark_event,delta_max_persistence_h1,1664,-0.16085309154110095,-0.6354608725373869,0.12123789178417427,0.21994378034609496,2.8042498935943736,0.09379727685325265
online_landmark_event,delta_top5_persistence_h1,1664,-0.3664267713776074,-0.6802008287709512,0.5733530607977254,1.0599371119095577,3.2581678402986385,0.10159651669085631
online_landmark_event,delta_betti_curve_area_h1,1664,-0.8632087222282061,-0.8538522297706117,708.7524822524439,1270.1183056566783,41.951641269241456,0.044722719141323794
online_landmark_event,delta_betti_curve_peak_h1,1664,-0.11923288434191999,-0.1654714575577676,237.1275,795.3265233537733,8.7825,0.1485053037608486
online_landmark_event,delta_betti_curve_change_h1,1664,0.04196354146324204,-0.3538075097549074,703.5978060783003,1256.4507767220045,7.915457212007039,0.407871198568873
online_landmark_dynamic_support,total_persistence_h1,1664,0.8072146711123334,0.8119063807621287,51.21086111632632,81.73077402110984,0.14379349522438042,
online_landmark_dynamic_support,max_persistence_h1,1664,0.8633792656483431,0.716261627550129,0.08925033827298376,0.13717776217925035,0.1007748540300006,
online_landmark_dynamic_support,top5_persistence_h1,1664,0.8890614996557337,0.7948929886064469,0.33540125868521015,0.5468180834613501,0.08587124808085042,
online_landmark_dynamic_support,betti_curve_area_h1,1664,0.704733032701986,0.7867506270089604,63.67550636130325,98.2129276514502,0.17818706610634075,
online_landmark_dynamic_support,betti_curve_peak_h1,1664,0.8091562419017679,0.8269966467144806,75.94591346153847,127.31894667602425,0.12573826732042792,
online_landmark_dynamic_support,betti_curve_change_h1,1664,0.8962167026139998,0.9708294839443375,139.19262357991698,216.3696223819631,0.175936215128422,
online_landmark_dynamic_support,delta_total_persistence_h1,1664,0.1460112034941111,0.7175855268147218,7.178884002075336,30.465938966681804,0.4008960704163596,0.7144970414201184
online_landmark_dynamic_support,delta_max_persistence_h1,1664,0.05377754283960486,0.5498386795785369,0.02228225911863226,0.06802762746763916,0.5153918617597013,0.6722054380664653
online_landmark_dynamic_support,delta_top5_persistence_h1,1664,0.12892718045265003,0.6683930450710452,0.07151402094138169,0.2423364612149123,0.40638953394173205,0.6898550724637681
online_landmark_dynamic_support,delta_betti_curve_area_h1,1664,-0.007502409254132765,0.631749391004208,8.306645881412075,31.81987042223822,0.49167718899572116,0.7967914438502673
online_landmark_dynamic_support,delta_betti_curve_peak_h1,1664,0.19217537478266872,0.17333007501859748,14.735,55.04367584019076,0.5457407407407407,0.42696629213483145
online_landmark_dynamic_support,delta_betti_curve_change_h1,1664,0.8598829379724023,0.7968090092017466,8.488946232858307,25.202796393735376,0.0955004266652596,0.839572192513369
