run_id,run_dir,experiment,geometry,mechanism,model,n,d,schedule,severity,mover_frac,noise,seed,regime,metric_family,best_metric,detection_epoch,normalized_detection_time,detected,max_epoch
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed5,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed5,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed5,1000,50,linear,moderate,1.0,0.0,5,Cluster tightening,Spectral,effective_rank,22.0,0.44,True,50.0
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed5,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed5,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed5,1000,50,linear,moderate,1.0,0.0,5,Cluster tightening,Geometric,q10_pairwise_distance,10.0,0.2,True,50.0
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed5,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed5,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed5,1000,50,linear,moderate,1.0,0.0,5,Cluster tightening,Topological,betti_curve_change_h1,2.0,0.04,True,50.0
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed17,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed17,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed17,1000,50,linear,moderate,1.0,0.0,17,Cluster tightening,Spectral,effective_rank,24.0,0.48,True,50.0
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed17,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed17,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed17,1000,50,linear,moderate,1.0,0.0,17,Cluster tightening,Geometric,q10_pairwise_distance,10.0,0.2,True,50.0
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed17,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed17,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed17,1000,50,linear,moderate,1.0,0.0,17,Cluster tightening,Topological,betti_curve_change_h1,2.0,0.04,True,50.0
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed26,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed26,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed26,1000,50,linear,moderate,1.0,0.0,26,Cluster tightening,Spectral,effective_rank,24.0,0.48,True,50.0
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed26,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed26,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed26,1000,50,linear,moderate,1.0,0.0,26,Cluster tightening,Geometric,q10_pairwise_distance,10.0,0.2,True,50.0
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed26,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed26,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed26,1000,50,linear,moderate,1.0,0.0,26,Cluster tightening,Topological,betti_curve_change_h1,2.0,0.04,True,50.0
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed31,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed31,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed31,1000,50,linear,moderate,1.0,0.0,31,Cluster tightening,Spectral,effective_rank,22.0,0.44,True,50.0
clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed31,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/cluster_tightening/clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed31,collapse_ph,clustered_gaussian,cluster_tightening,clustered_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed31,1000,50,linear,moderate,1.0,0.0,31,Cluster tightening,Geometric,q10_pairwise_distance,10.0,0.2,True,50.0
